Fecha,año,mes,Open,High,Low,AdjClose,ROC,Activos,Ocupados,Parados,Tasa Act,Tasa Paro,Tasa Paro ROC
2008-01-01,2008,1,15101.900391,15186.0,11937.200195,13228.986328,0.8713436114854756,22710.06666666667,20685.266666666666,2024.8333333333333,59.53666666666667,8.913333333333334,1.0400622325943214
2008-02-01,2008,2,13440.700195,13652.099609,12721.400391,13170.386719,0.9955703628723263,22760.233333333334,20652.633333333335,2107.6666666666665,59.60333333333333,9.256666666666666,1.038519072550486
2008-03-01,2008,3,12998.0,13596.400391,12571.400391,13268.986328,1.0074864627063502,22810.4,20620.0,2190.5,59.67,9.6,1.0370903853078863
2008-04-01,2008,4,13205.599609,14019.599609,13106.799805,13798.286133,1.03988999550652,22884.466666666667,20628.966666666667,2255.5666666666666,59.803333333333335,9.853333333333333,1.026388888888889
2008-05-01,2008,5,13916.200195,14301.299805,13397.900391,13600.886719,0.9856939179186971,22958.533333333333,20637.933333333334,2320.633333333333,59.93666666666667,10.106666666666666,1.0257104194857916
2008-06-01,2008,6,13610.5,13612.099609,11874.5,12046.188477,0.8856914057060606,23032.6,20646.9,2385.7,60.07,10.36,1.025065963060686
2008-07-01,2008,7,12028.5,12035.200195,10932.400391,11881.288086,0.9863109902925019,23074.1,20616.733333333334,2457.3666666666663,60.123333333333335,10.65,1.027992277992278
2008-08-01,2008,8,11719.0,12078.700195,11185.5,11707.288086,0.9853551232206019,23115.6,20586.56666666667,2529.0333333333333,60.17666666666666,10.94,1.0272300469483566
2008-09-01,2008,9,11607.5,11936.299805,10571.099609,10987.489258,0.9385170312106048,23157.1,20556.4,2600.7,60.23,11.23,1.0265082266910421
2008-10-01,2008,10,11064.299805,11441.5,7737.200195,9115.991211,0.8296700908592597,23192.1,20389.36666666667,2802.733333333333,60.269999999999996,12.083333333333334,1.0759869397447315
2008-11-01,2008,11,9185.799805,9883.799805,7830.899902,8910.59082,0.977468123186412,23227.1,20222.333333333332,3004.766666666667,60.31,12.936666666666666,1.0706206896551722
2008-12-01,2008,12,8914.0,9332.900391,8293.200195,9195.790039,1.0320067686600387,23262.1,20055.3,3206.8,60.35,13.79,1.0659623808296832
2009-01-01,2009,1,9262.0,9800.0,7981.700195,8450.391602,0.9189413379558784,23275.6,19798.333333333332,3477.266666666667,60.36333333333334,14.94,1.0833937635968094
